r v real_class
2.874 2.998 ITL
2.882 2.957 ITL
2.023 0.171 ITL
2.363 1.207 ITL
2.624 0.486 IN
0.659 0.062 ITL
2.636 1.548 ITL
0.911 0.295 IN
2.954 0.089 ITL
2.084 0.434 IN
2.563 0.36 IN
1.987 0.719 IN
2.292 0.306 IN
2.032 0.221 ITL
2.063 0.223 IN
1.139 0.037 IN
2.58 0.023 IN
0.653 0.061 ITL
1.901 0.345 IN
2.815 0.262 IN
2.135 1.536 ITL
1.221 0.045 IN
1.023 0.818 IN
2.369 0.422 IN
1.873 0.675 IN
2.888 1.963 ITL
1.052 0.203 IN
2.956 0.892 ITL
2.63 0.705 ITL
1.111 0.744 IN
1.755 0.426 IN
2.71 0.289 IN
2.304 0.37 ITL
2.645 0.411 IN
2.943 0.305 ITL
2.738 2.466 ITL
2.582 0.44 IN
1.022 0.555 ITL
1.84 0.073 IN
0.62 0.999 IN
2.841 0.328 IN
2.2 0.94 ITL
2.724 0.248 IN
2.072 1.341 ITL
2.778 0.913 ITL
1.92 0.153 ITL
2.765 0.203 IN
1.43 0.467 IN
0.548 0.733 ITL
2.908 1.092 ITL
0.834 0.633 IN
2.195 0.994 ITL
2.568 1.339 ITL
2.585 0.428 IN
2.601 0.359 IN
2.364 0.662 ITL
2.558 2.14 ITL
2.106 0.413 IN
1.85 0.744 ITL
2.5 0.52 IN
2.85 0.942 ITL
1.156 0.732 IN
0.86 0.523 ITL
2.764 1.095 ITL
2.875 0.968 ITL
1.918 0.28 IN
2.842 0.133 IN
2.836 0.647 IN
2.942 0.471 ITL
2.401 0.903 ITL
2.655 0.209 IN
2.656 0.184 IN
1.459 0.182 ITL
2.477 1.256 ITL
2.899 0.223 IN
2.982 1.848 ITL
2.668 0.179 IN
0.825 0.336 ITL
2.106 1.499 ITL
1.596 0.064 IN
2.32 1.763 ITL
2.26 0.464 IN
2.439 0.567 IN
2.525 1.442 ITL
2.108 1.001 ITL
2.724 1.463 ITL
1.195 0.712 IN
2.156 0.216 ITL
2.538 0.228 IN
0.377 0.756 ITL
2.355 0.572 IN
2.874 2.375 ITL
2.545 0.38 IN
1.691 2.41 ITL
1.555 0.63 IN
2.914 1.844 ITL
1.518 0.712 IN
2.767 0.36 ITL
2.804 0.951 ITL
2.83 0.153 IN
1.531 0.766 ITL
2.387 1.134 ITL
2.866 0.251 IN
2.559 0.095 IN
1.503 0.128 ITL
2.264 0.231 IN
2.787 0.055 IN
1.695 0.759 ITL
2.187 0.914 ITL
2.391 0.353 IN
2.05 0.048 IN
2.554 0.225 IN
2.161 0.619 IN
1.847 0.657 IN
2.163 0.531 IN
2.155 0.565 IN
1.396 0.759 ITL
2.644 0.386 IN
0.231 0.553 ITL
0.22 0.622 ITL
2.626 1.778 ITL
2.662 1.79 ITL
2.656 0.99 ITL
2.523 0.731 ITL
2.309 0.761 ITL
1.582 0.614 ITL
1.604 0.69 ITL
2.74 0.528 IN
2.639 0.531 ITL
0.866 0.413 IN
2.078 0.239 ITL
1.293 0.07 ITL
2.392 0.805 ITL
1.022 0.611 ITL
2.592 0.562 IN
2.821 0.396 IN
2.766 0.345 IN
2.342 0.12 IN
2.118 0.122 IN
2.812 0.085 IN
2.496 1.954 ITL
2.502 0.086 IN
2.597 0.005 IN
1.302 0.072 ITL
1.142 0.312 IN
2.824 0.018 IN
0.742 0.49 ITL
2.183 0.571 IN
2.551 0.282 IN
2.676 1.862 ITL
0.804 0.189 ITL
0.798 0.073 IN
2.461 0.5 IN
2.488 0.432 ITL
2.81 0.738 ITL
0.972 0.923 ITL
0.869 0.302 ITL
2.912 1.519 ITL
2.671 0.284 IN
2.453 1.604 ITL
2.718 1.597 ITL
2.884 0.022 IN
2.622 0.494 IN
2.404 0.631 IN
2.821 0.379 IN
2.834 0.471 ITL
2.875 0.461 ITL
2.846 0.477 ITL
2.638 2.208 ITL
2.282 0.205 IN
1.585 0.638 IN
1.445 0.653 IN
1.504 0.812 IN
2.997 0.759 ITL
2.903 0.16 IN
1.587 0.746 ITL
1.648 0.603 ITL
1.62 0.549 ITL
1.483 0.848 ITL
1.489 0.674 ITL
1.253 0.554 ITL
1.153 0.654 ITL
1.215 0.564 ITL
1.213 0.579 ITL
1.147 0.552 ITL
1.181 0.583 ITL
1.108 0.431 ITL
1.146 0.513 ITL
1.982 0.617 IN
2.42 1.113 ITL
2.358 0.983 ITL
2.778 0.308 IN
2.814 0.214 IN
2.789 0.186 IN
1.753 0.659 IN
1.793 0.635 IN
2.8 0.467 IN
2.854 0.269 IN
2.776 0.104 IN
2.726 0.313 IN
2.797 0.006 IN
2.581 0.361 ITL
2.591 0.272 IN
2.554 0.306 IN
1.442 0.405 ITL
2.97 0.726 ITL
2.998 0.691 ITL
2.959 0.676 ITL
2.834 0.731 ITL
0.838 0.653 IN
0.898 0.595 IN
1.493 0.115 ITL
1.473 0.184 ITL
0.972 0.743 ITL
1.17 0.573 ITL
1.162 0.428 ITL
1.105 0.666 ITL
1.132 0.881 IN
1.243 0.801 IN
1.261 0.924 IN
2.937 0.232 ITL
2.93 0.33 ITL
2.934 0.342 ITL
2.691 0.312 ITL
2.916 0.24 ITL
1.539 0.424 IN
1.646 0.428 IN
1.342 0.82 IN
1.24 1.008 IN
2.254 0.047 IN
1.968 0.083 IN
2.314 0.133 IN
1.413 0.092 IN
2.456 0.018 IN
2.537 0.018 IN
1.841 0.292 IN
1.861 0.777 IN
1.755 0.204 IN
1.848 0.421 IN
1.81 0.324 IN
1.964 0.208 IN
1.939 0.176 IN
1.822 0.288 IN
1.856 0.366 IN
1.538 0.547 IN
2.346 0.387 IN
2.655 0.068 IN
2.222 0.106 IN
2.279 0.116 IN
2.109 0.327 IN
2.164 0.279 IN
1.369 0.815 IN
1.471 0.619 IN
1.78 0.489 IN
1.554 0.43 IN
1.838 0.464 IN
1.651 0.688 IN
1.681 0.652 IN
2.297 0.209 IN
1.264 1.013 IN
1.404 0.218 IN
1.371 0.675 IN
1.268 0.745 IN
0.968 1.138 IN
2.509 0.473 IN
2.881 0.396 IN
1.977 0.974 IN
1.958 0.934 IN
2.382 0.764 IN
2.127 0.568 IN
1.984 1.031 IN
2.048 0.213 IN
2.198 0.273 IN
1.326 1.535 IN
2.009 0.749 IN
2.181 0.678 IN
2.506 0.419 IN
1.629 0.298 IN
1.889 0.525 IN
1.809 0.492 IN
1.61 1.229 IN
1.833 1.11 IN
2.172 0.046 IN
1.999 0.428 IN
2.078 0.491 IN
2.604 0.048 IN
2.146 0.041 IN
2.484 0.199 IN
2.615 0.175 IN
2.92 0.077 IN
2.879 0.406 IN
2.248 0.414 IN
1.471 1.069 IN
1.692 0.731 IN
1.688 0.773 IN
1.045 0.834 IN
2.219 0.665 IN
2.194 0.202 IN
2.151 0.133 IN
1.898 0.706 IN
1.976 0.35 IN
2.209 0.008 IN
2.088 0.035 IN
2.111 0.017 IN
2.913 0.513 IN
2.235 0.614 IN
2.783 0.234 IN
2.764 0.145 IN
2.84 0.14 IN
2.686 0.082 IN
2.795 0.12 IN
2.798 0.218 IN
2.84 0.127 IN
2.844 0.037 ITL
3 0.123 IN
2.907 0.025 IN
2.885 0.052 IN
2.739 0.066 IN
2.57 0.043 ITL
2.631 0.239 ITL
2.687 0.289 ITL
2.844 0.111 IN
2.98 0.159 ITL
2.418 0.084 IN
1.982 0.393 ITL
1.134 2.903 ITL
2.015 1.786 ITL
1.689 0.271 IN
2.733 0.035 IN
1.829 0.444 ITL
2.49 2.984 ITL
2.572 0.482 ITL
1.936 2.186 ITL
2.323 0.678 ITL
1.869 2.59 ITL
2.724 0.222 ITL
2.703 0.782 ITL
2.707 0.46 ITL
1.956 1.894 ITL
1.925 1.871 ITL
2.846 0.196 ITL
2.894 0.233 ITL
2.249 0.072 IN
2.846 0.306 ITL
2.782 2.538 ITL
2.367 0.149 ITL
1.927 2.184 ITL
2.789 0.236 IN
2.261 0.095 ITL
2.6 2.41 ITL
0.895 0.179 IN
2.637 2.058 ITL
2.942 0.396 IN
2.334 0.446 ITL
2.195 0.168 ITL
0.319 0.518 ITL
2.294 0.521 ITL
2.111 2.531 ITL
0.605 0.522 ITL
2.579 0.324 IN
2.922 2.679 ITL
2.43 1.495 ITL
2.274 2.369 ITL
1.035 0.302 ITL
1.857 2.607 ITL
2.803 0.361 IN
2.077 0.378 ITL
2.799 0.834 ITL
2.518 0.834 ITL
0.846 0.139 IN
1.993 2.592 ITL
1.573 0.023 IN
1.181 2.64 ITL
0.936 0.036 IN
1.673 1.599 ITL
2.938 0.028 ITL
2.15 2.567 ITL
2.281 0.687 ITL
2.06 2.539 ITL
1.154 0.284 IN
0.117 0.16 IN
2.381 1.455 ITL
2.579 0.156 ITL
2.522 1.836 ITL
2.304 0.222 ITL
1.924 2.612 ITL
0.822 0.477 ITL
2.014 2.441 ITL
2.293 1.682 ITL
2.159 0.434 ITL
2.656 2.425 ITL
2.943 0.666 ITL
0.951 0.168 IN
0.816 2.786 ITL
0.858 2.773 ITL
0.123 2.803 ITL
1.59 2.201 ITL
2.788 2.325 ITL
2.477 2.34 ITL
2.535 2.364 ITL
1.309 0.136 IN
1.535 0.506 ITL
0.381 2.78 ITL
1.822 2.195 ITL
2.444 0.183 ITL
1.048 2.611 ITL
2.436 0.696 ITL
2.415 0.688 ITL
1.54 2.205 ITL
1.869 2.43 ITL
1.154 0.337 IN
2.434 0.488 ITL
1.738 2.986 ITL
2.524 0.775 ITL
2.168 0.584 ITL
2.649 0.051 ITL
2.317 0.362 IN
1.98 0.135 ITL
2.03 0.132 ITL
0.66 2.841 ITL
0.633 0.155 IN
0.753 0.208 IN
0.641 0.165 IN
0.593 0.19 IN
1.36 2.894 ITL
1.474 2.973 ITL
2.265 1.833 ITL
2.55 0.132 ITL
2.629 0.08 ITL
2.806 0.143 ITL
2.737 0.145 ITL
2.931 2.632 ITL
2.949 2.422 ITL
2.756 2.578 ITL
2.787 2.523 ITL
1.74 0.604 IN
1.783 0.452 IN
1.921 0.671 IN
1.82 0.363 IN
1.796 0.508 IN
1.249 0.414 IN
1.24 0.354 IN
1.127 0.305 IN
1.179 0.093 IN
1.193 0.398 IN
1.127 0.237 IN
1.115 0.368 IN
1.194 0.35 IN
0.967 0.381 IN
1.126 0.323 IN
1.382 0.024 BS
2.144 0.067 BS
0.441 0.022 BS
0.465 0.484 BS
1.283 0.38 BS
1.852 0.436 BS
1.373 0.15 BS
0.583 0.502 BS
1.99 0.569 BS
1.29 0.081 BS
1.655 0.305 BS
0.802 0.398 BS
1.754 0.199 BS
0.928 0.533 BS
1.781 0.299 BS
1.664 0.137 BS
1.047 0.208 BS
2.068 0.557 IN
0.746 0.424 BS
1.423 0.738 BS
1.423 0.219 BS
2.576 0.286 IN
1.579 0.153 IN
2.669 0.136 BS
1.007 0.211 BS
2.235 0.336 BS
2.169 0.157 BS
1.956 0.52 IN
1.197 0.604 BS
1.294 0.164 IN
0.867 0.053 BS
1.399 0.271 BS
2.936 0.342 BS
1.848 0.211 BS
0.4 0.648 BS
1.212 0.088 IN
1.813 0.025 BS
2.263 0.183 BS
1.867 0.371 BS
2.065 0.357 BS
1.861 0.678 BS
1.602 0.606 BS
1.125 0.542 BS
1.211 0.431 BS
1.281 0.224 BS
1.249 1.046 BS
1.432 0.411 BS
1.652 0.908 BS
1.699 0.827 BS
1.277 0.31 BS
0.575 0.434 CL
0.865 0.125 CL
0.851 0.058 CL
0.637 0.002 CL
0.78 0.477 BS
0.371 0.236 CL
0.521 0.679 CL
0.527 1.019 CL
1.098 0.783 BS
0.719 0.835 CL
0.819 0.153 CL
0.398 1.501 CL
0.901 1.229 IN
0.82 0.706 CL
0.36 0.866 CL
0.636 0.09 CL
0.598 0.355 CL
0.226 0.082 CL
1.141 0.521 BS
0.765 0.454 CL
0.239 0.018 CL
0.371 0.606 CL
0.251 0.648 CL
0.409 0.299 CL
0.49 0.231 CL
0.28 1.682 CL
0.963 0.088 BS
0.258 1.199 CL
0.362 1.194 CL
0.346 1.644 CL
0.57 1.242 CL
1.024 0.775 BS
1.148 0.959 BS
0.572 0.59 CL
0.19 1.065 CL
0.902 1.034 CL
0.933 0.995 CL
0.164 1.79 CL
0.576 0.073 CL
0.672 1.457 CL
0.567 0.515 CL
0.382 0.728 CL
0.964 0.497 BS
0.765 1.306 IN
0.711 0.319 CL
1.016 0.304 CL
0.545 0.885 CL
0.279 1.254 CL
0.224 0.879 CL
0.268 0.703 CL
1.083 0.476 CL
0.527 0.243 CL
0.897 0.118 CL
0.636 1.484 RIN
0.885 1.056 RIN
0.553 1.057 CL
0.496 0.952 CL
0.922 0.796 BS
0.498 0.667 RIN
0.309 0.277 CL
1.127 0.596 BS
0.27 1.413 CL
1.048 0.513 BS
1.25 0.028 BS
1.051 0.54 BS
0.655 0.207 RIN
0.063 1.507 RIN
0.495 0.108 CL
0.654 0.079 CL
0.08 1.806 CL
0.66 0.671 CL
0.966 0.366 BS
0.471 0.477 CL
0.993 0.979 BS
0.748 0.344 CL
1.17 0.125 BS
0.227 0.26 CL
0.546 0.006 RIN
0.762 0.143 BS
0.59 0.78 RIN
0.811 0.574 BS
0.599 1.131 CL
0.999 0.025 BS
0.343 1.067 CL
0.922 0.128 CL
0.382 0.257 RIN
0.491 1.481 RIN
0.64 0.548 CL
1.264 0.952 IN
0.784 0.457 RIN
1.122 0.348 BS
0.903 0.362 RIN
0.709 1.147 CL
0.548 0.095 CL
0.163 1.054 RIN
0.372 0.187 CL
1.243 0.111 CL
0.214 1.001 BS
0.456 0.845 RIN
0.441 0.778 CL
0.366 0.732 RIN
0.722 0.522 RIN
0.92 0.889 CL
0.681 0.053 RIN
0.409 0.239 RIN
0.392 0.385 RIN
0.266 0.029 RIN
0.429 1.534 RIN
0.623 0.816 RIN
0.564 1.222 CL
0.566 0.576 RIN
0.483 0.01 CL
0.57 1.7 RIN
0.96 0.97 IN
0.882 0.139 CL
0.584 0.426 RIN
1.002 1.242 BS
0.503 0.682 BS
1.101 0.771 BS
0.847 1.156 RIN
0.532 1.477 CL
0.646 0.014 BS
0.846 0.924 BS
1.028 1.03 IN
0.524 0.33 RIN
0.63 1.262 IN
0.498 0.227 RIN
1.235 0.472 IN
1.05 0.04 CL
0.121 0.197 CL
0.637 0.194 CL
0.281 0.594 RIN
0.933 0.137 CL
0.664 1.656 RIN
0.69 0.762 RIN
0.489 0.751 CL
0.815 0.998 RIN
0.604 0.058 BS
0.64 0.885 RIN
1.115 1.016 IN
0.43 0.587 CL
0.45 0.195 RIN
0.84 0.624 RIN
1.191 0.005 BS
0.691 0.077 RIN
1.232 0.228 CL
0.248 0.493 CL
0.515 0.054 RIN
0.884 1.205 BS
0.698 0.475 CL
0.629 1.269 RIN
0.841 0.656 IN
0.808 0.281 RIN
0.744 0.208 CL
0.971 0.589 CL
0.288 0.634 RIN
1.132 0.157 BS
0.595 0.656 BS
0.907 0.473 RIN
1.02 0.984 BS
0.632 0.302 RIN
0.243 0.536 CL
0.412 0.901 CL
0.708 1.112 RIN
0.585 0.47 RIN
0.558 1.487 IN
1.007 0.232 IN
0.681 0.077 RIN
0.197 0.812 RIN
0.353 1.328 RIN
0.756 0.17 CL
0.742 0.215 CL
0.483 1.563 RIN
0.864 0.19 BS
1.201 0.847 BS
0.778 1.08 RIN
0.986 1.133 BS
0.366 0.874 CL
0.603 0.067 CL
0.059 0.593 RIN
0.727 1.168 IN
0.776 0.648 RIN
0.342 1.131 CL
0.434 0.087 CL
0.844 0.057 CL
0.234 0.344 RIN
0.553 0.408 CL
0.574 0.732 RIN
0.274 1.416 RIN
0.986 1.241 CL
0.49 1.481 RIN
0.719 0.069 RIN
0.565 0.573 RIN
0.684 0.282 RIN
0.419 0.289 RIN
0.428 1.136 RIN
0.769 0.698 RIN
0.49 1.179 RIN
1.163 1.014 BS
1.116 1.358 BS
0.679 1.574 RIN
0.451 0.068 RIN
0.205 1.457 RIN
0.225 0.839 RIN
1.021 0.14 BS
1.019 0.244 BS
0.972 0.588 CL
0.775 0.607 RIN
0.776 0.945 RIN
0.433 0.667 CL
0.451 0.412 CL
1.262 0.495 BS
0.853 0.182 CL
0.997 0.748 BS
0.799 0.751 IN
0.06 1.46 CL
0.958 0.011 BS
0.32 1.391 CL
0.624 1.234 RIN
1.241 0.519 BS
0.226 0.165 CL
0.575 0.511 RIN
0.459 0.962 CL
0.384 0.977 RIN
1.154 0.151 BS
0.139 0.066 RIN
1.13 1.059 BS
0.229 0.523 CL
0.414 0.731 CL
1.291 0.752 BS
1.098 0.358 BS
0.899 1.584 RIN
0.799 0.48 RIN
0.54 0.795 RIN
0.785 0.829 IN
0.545 0.909 RIN
0.504 1.23 RIN
0.236 0.206 RIN
0.375 0.355 RIN
0.773 1.204 IN
0.568 0.366 CL
0.434 0.48 CL
0.773 1.035 BS
0.187 2.498 RIN
1.25 0.023 BS
0.855 0.262 RIN
0.455 0.927 RIN
1.285 0.675 BS
0.937 1.606 RIN
0.48 0.898 CL
0.495 0.9 CL
0.985 0.369 BS
0.951 0.8 IN
0.779 0.378 RIN
0.69 1.157 IN
0.763 1.045 CL
0.645 1.404 IN
0.849 0.415 CL
0.727 0.615 RIN
0.314 0.533 CL
0.261 1.047 CL
0.936 0.55 CL
1.304 1.038 BS
0.622 0.034 RIN
0.663 1.475 RIN
1.153 0.945 BS
0.506 0.928 RIN
0.188 0.876 CL
0.566 1.027 CL
0.578 0.188 CL
0.756 0.751 CL
1.299 0.912 IN
1.175 0.004 BS
0.97 0.872 IN
0.569 0.013 CL
0.933 0.454 CL
0.633 0.564 CL
0.824 0.042 BS
0.65 0.316 CL
1.039 0.439 BS
0.55 0.186 RIN
1.086 0.308 BS
0.281 0.451 CL
0.495 0.057 CL
0.397 0.264 RIN
0.532 1.608 RIN
1.024 0.925 BS
0.463 0.26 RIN
0.787 0.423 RIN
1 1.054 IN
0.652 0.119 CL
0.69 0.403 CL
0.331 0.393 RIN
0.802 0.169 RIN
0.754 0.64 RIN
0.623 1.268 RIN
0.75 0.357 RIN
