r v real_class
0.818 0.727 CL
0.86 1.653 RIN
1.904 0.044 IN
1.045 2.669 ITL
2.596 0.73 ITL
2.567 0.1 ITL
0.985 0.88 ITL
0.523 0.066 ITL
0.793 0.548 RIN
0.384 0.718 IN
1.348 0.061 IN
0.562 0.3 CL
1.426 0.057 IN
2.771 0.156 IN
1.125 0.421 ITL
1.283 0.19 CL
2.618 0.823 ITL
0.759 1.095 RIN
0.71 1.27 CL
2.289 0.17 IN
1.621 1.295 ITL
1.907 0.404 ITL
0.457 1.511 ITL
2.284 0.308 ITL
0.414 0.304 CL
1.881 0.692 IN
1.583 0.018 IN
1.925 0.51 BS
0.164 0.566 CL
0.415 1.082 CL
2.485 0.722 IN
1.891 0.205 IN
2.572 1.255 ITL
1.389 2.447 ITL
0.174 0.879 BS
1.149 0.447 BS
1.183 0.11 IN
1.463 0.532 BS
2.415 2.39 ITL
2.39 0.337 ITL
2.188 0.015 ITL
2.345 0.67 BS
1.908 0.969 IN
1.856 0.71 IN
0.182 1.131 CL
0.713 0.654 ITL
0.683 0.589 CL
0.472 0.51 CL
0.981 0.32 BS
0.299 0.452 BS
2.457 1.56 ITL
0.884 0.274 CL
0.618 0.513 IN
0.493 0.52 CL
1.593 0.011 IN
2.902 0.113 ITL
0.472 1.908 RIN
0.752 0.332 RIN
2.267 0.313 IN
0.611 0.959 CL
0.306 1.136 RIN
1.762 0.358 BS
2.473 0.46 ITL
2.984 2.471 ITL
1.372 0.35 BS
0.505 0.802 RIN
2.759 2.144 ITL
2.033 0.353 IN
0.94 0.82 IN
1.751 0.054 IN
2.16 0.289 IN
0.585 0.958 RIN
1.672 0.489 BS
0.232 1.217 BS
2.8 2.409 ITL
0.948 0.281 BS
1.081 1.076 IN
0.51 2.263 RIN
2.462 0.79 IN
1.629 0.198 BS
0.788 0.827 ITL
1.985 0.381 ITL
0.638 0.234 IN
1.721 0.411 BS
2.109 2.43 ITL
0.22 1.523 RIN
0.531 1.655 RIN
2.151 1.821 ITL
2.836 2.435 ITL
0.952 1.159 CL
0.589 0.485 ITL
2.217 0.074 IN
1.112 1.282 BS
0.519 1.416 RIN
2.15 2.443 ITL
2.861 1.219 ITL
2.509 0.091 IN
2.645 0.04 IN
1.088 0.459 BS
0.503 1.224 RIN
0.332 0.446 CL
0.398 0.078 CL
2.075 1.254 ITL
2.201 2.765 ITL
2.832 1.162 ITL
0.351 0.172 CL
2.137 2.06 ITL
2.427 0.608 IN
1.188 1.362 IN
2.893 0.436 ITL
2.681 0.064 ITL
1.121 0.589 BS
0.785 0.087 RIN
0.598 1.584 ITL
1.424 0.937 BS
0.308 0.578 BS
2.556 0.85 ITL
1.805 0.025 IN
2.839 0.213 IN
1.691 2.082 ITL
2.19 0.538 ITL
